770674525,770858011
771182967,16884
771182967,770802078
13018,10015
12858,136233481
428909306,770676594
13518,13831
770858011,24223
13518,770863875
10579,10016
10097,14246
16955,266746773
770858225,770688140
770785567,771209113
6936,10093
770793166,9917
770674525,770802334
770858011,10901
428909306,549495813
18062,18404
770858225,770791955
428909306,155563568
12895,12952
10579,1121
13933,14211
9749,9382
12877,12860
15928,17
12877,18059
770807393,771208989
14012,770785740
770858225,20116
770804511,666104050
770859139,770675616
770793166,24477
15928,18948
9749,9414
770804511,770671663
770859139,770680214
12858,13034
770804511,633640011
10097,18062
16896,771042121
12858,15928
603201623,770809201
15928,11450
770858011,770816610
9749,9377
18062,10203
770804511,770819772
10097,770771479
15928,136233481
12895,12953
12895,770685760
771182967,13401
770858011,684532133
770793166,15744
770682510,771231858
17050,21611
770674525,190816246
12877,190815509
13018,770680916
13018,12878
12858,11450
770682510,13278
770859139,387371589
16955,12875
9749,770672122
771182967,10473
14235,13065
770858011,10540
12858,770813276
13018,10093
10579,632295045
10097,12903
9749,9559
12877,12944
10097,12856
770674525,770675878
12877,263042951
13518,9400
658854,770676594
770682867,12979
770858225,18255
18488,770856113
770674525,24223
770859139,771246678
770793166,284431475
770682867,770808473
18062,770677066
770682510,770768030
10990,10528
18062,17873
13604,12939
770793166,10859
14235,770680780
13837,16743
770806389,771209113
13604,632318478
770804511,770681034
18062,18076
428909306,489388105
10579,10375
658854,155563568
15928,12858
12895,12907
10579,769964099
770859139,76202668
12895,770670652
